83,Bi,Bismuth,208.98040,solid,metallic,Ancient
84,Po,Polonium,209,solid,metallic,1898
85,At,Astatine,210,solid,covalent network,1940
86,Rn,Radon,222,gas,atomic,1900
87,Fr,Francium,223,solid,metallic,1939
88,Ra,Radium,226,solid,metallic,1898
89,Ac,Actinium,227,solid,metallic,1899
90,Th,Thorium,232.03806,solid,metallic,1828
91,Pa,Protactinium,231.03588,solid,metallic,1913
92,U,Uranium,238.02891,solid,metallic,1789
93,Np,Neptunium,237,solid,metallic,1940
94,Pu,Plutonium,244,solid,metallic,1940
95,Am,Americium,243,solid,metallic,1944
96,Cm,Curium,247,solid,metallic,1944
97,Bk,Berkelium,247,solid,metallic,1949
98,Cf,Californium,251,solid,metallic,1950
99,Es,Einsteinium,252,solid, ,1952
100,Fm,Fermium,257, , ,1952
101,Md,Mendelevium,258, , ,1955
102,No,Nobelium,259, , ,1957
103,Lr,Lawrencium,262, , ,1961
104,Rf,Rutherfordium,267, , ,1969
105,Db,Dubnium,268, , ,1967
106,Sg,Seaborgium,271, , ,1974
107,Bh,Bohrium,272, , ,1976
108,Hs,Hassium,270, , ,1984
109,Mt,Meitnerium,276, , ,1982
110,Ds,Darmstadtium,281, , ,1994
111,Rg,Roentgenium,280, , ,1994
112,Cn,Copernicium,285, , ,1996
113,Uut,Ununtrium,284, , ,2003
114,Uuq,Ununquadium,289, , ,1998
115,Uup,Ununpentium,288, , ,2003
116,Uuh,Ununhexium,293, , ,2000
117,Uus,Ununseptium,294, , ,2010
118,Uuo,Ununoctium,294, , ,2002
